Contemporary Era,"Economic period that began in the mid-1900s and continues to the present that is based on knowledge, information, and international and quality management. Service output exceeds manufactured product output, and extensive economic analysis occurs."
Continuing Compounding,Compounding interest when the compounding  period is infinitely small.
Continuous Financial Improvement(CFI): ,"Making small frequent improvements in processes, services, and products that result in incremental financial benefits."
Continuous Quality Improvement,"A quality concept of not just meeting specifications, but making improvements in products and processes continuously. It emphasizes ongoing improvement of designs, processes, materials, and procedures, resulting in lower costs as well as improved quality."
Corporation:,"A business that is formed by a charter granted by a state. The owners may be separate from management, and the company may sell securities and share profits with owners or retain them. This type of business has unique tax requirements."
Costs,"Expenses for materials, labor services, overhead, and other expenses. Costs are deducting from the income Statement; they are money flowing from the organization."
Cost-Volume-Profit Relationship,Same as breakeven
Cross-functional Team,Team composed of members from many different functions or departments.
Culture,"The values, beliefs, and attitudes of the organization."
Decision Tree,A graphical method of describing events that are uncertain.
Declining Balance (DB) Method,A mathematical depreciation method that creates high depreciation expense in the early years and lower amounts in the later years by multiplying the straight-line depreciation amount by a factor between 1 and 2 times.
Defender,The existing or old building and equipment that are currently used.
Deferred Annuity,An annual amount investment received or paid with a starting time in the future.
Deming’s Chain Reaction,"The improvement in quality that reduces scrap, which reduces the product’s or service’s unit cost and improves productivity by increasing the percentage of good output, which in turn reduces the selling price and improves quality to the customer, which expands the market and increases sales and the number of jobs. It improves the ROI of processes and organizations."
Depletion,"The reduction in value of a natural resources occurring with land, such as oil, minerals, gas, or timber."
Depreciation,Reducing fixed assets such as equipment or buildings in value over time. The reduction in value is entered as an expense in the cost category of the Income Statement.
Direct Labor,"A means of adding value to the product by changing the material, assembly, or other operation."
Direct Material,Direct material is found in the finished products.
Discounted Cash Flow (DCF),Similar to the present worth method. The comparison of present worth of costs and revenues.
Dividends,Paid to shareholders after expenses and taxes have been paid.
Do-Nothing Investment Analysis,Indicates that the best decision is to do nothing and not make any investment. This is usually caused by the investment’s return being less than the desired or target ROI.
Economic Life,The life based on the calculation of the asset’s annual cost. Economic life is the duration into the future when the annual cost of the asset is less than other alternatives. It may be less than or equal to the physical life. Economic life might be equal to one year in some cases.
Economic Lot Size (ELS),Same as EOQ
Economic Order Quantity (EOQ),The quantity of materials per order that results in the minimum total cost when the acquisition (purchase or setup) and storage costs are added together.
Economic Value Added (EVA),Return on investment after the cost of all capital is subtracted.
Equipment and Building Life,"Life may be based on physical, accounting, owned, useful, or economic life estimates and calculations."
Equivalence,"Money at one time period made equal to money at other time periods using TVM calculations. F=Future Value: Amount of money at a future point in time. i= Generally, the effective interest rate per period. Inflation= The specific increase in price of a good or service over time, g; or general inflation in the economy, f."
Expected Value,The event that has the highest probability of occurrence.
Expensing,Creating expenses in the cost category of the Income Statement as soon as the expenditures are made.
External Failure Costs,"The cost of warranty, field failure, complaint analysis, product liability, and related costs of quality after the customer receives the product or service."
External Rate of Return,"Desired rate, target rate of return, or alternative rate available at financial institutions, used to analyze projects and investments."
Factory System Period,"Economic: period that began in the 1800s. The use of the steam engine, mechanical inventions, and labor specialization produced large quantities of similar products. During this period, management science, industrial engineering, and economic analysis of investments and projects began."
Financial Journey,"Continues improvement of financial results by an organization or individual from collecting, analyzing, making economic decisions, monitoring, and improving financial results and benefits."
Financial Statements,"Reports derived from historical accounting records. The primary financial statements are the Income Statement (I/S), the Balance Sheet (B/S), and the Cash Flow Statement. They show the financial health of the organization."
Fishbone Diagram,Also called cause-and-effect or Ishikawa diagram. It collects the possible causes of a problem and arranges them in related groups to determine relationships.
Fixed Cost,"Costs that are not dependent on the volume of output, such as rent, depreciation, salaries, advertising, and other overhead costs. "
Flat Tax,A tax that has a constant rate over all taxable amounts; also called a fixed percentage tax rate.
Four Basic TVM Methods,"Present worth, annual amount, future worth, and internal rate of return."
Future Worth (Future Value) Method,Converting all costs and revenues into a future worth for comparison with other future worth.
Goalpost Quality,"defining product or services as good if it is between the upper and lower tolerances and not dependent on nearness to a nominal specification, which is the type of quality that contributes to high variation, costs, and failure rate."
Gradient (G),Annual series of investments or returns from investments or returns from investments in which each annual amount increases or decreases by a constant amount.
Group Depreciation,Combining similar assets to calculate total depreciation expenses.
Income Statement (I/S),"This statement, also called a Profit and Loss Statement (P&L), shows Revenue less Costs, which equals Profit or net income over a period of time."
Incremental Analysis,Selecting mutually exclusive investments based on IRR values of differences between two or more alternatives.
Independent Investment,"Of a collection of investments, none, one, or all may be selected without affecting the others."
Indirect Labor,"Assists direct labor to perform its tasks. Indirect labor does not add value directly to the product. Includes material-handling operators, inspectors, and maintenance employees."
Indirect Material,"Necessary for making the product, but not found in the finished product. Examples are cutting fluid for machine tools, bins and trays for moving and storing material, or wax paper or aluminum foil used in a restaurant to prepare food."
Intangible Assets,"Economic and legal rights in long-life , nonphysical assets, including copyrights, patents, franchise , and leasehold improvements."
Interest,"Applied generally, the payment or “rent” for the use of funds for some period of time such as a year. M=Number of periods into which a year is divided for the purpose of compounding calculations. N=Time in years. P=Present Value.   R=Normal interest rate."
Interest-Only Loan,A loan that requires only interest  to be paid during the life of the loan. The principal is paid at the end of the loan period.
Internal Failure Costs,"The cost of scrap, rework, troubleshooting, and other defects found before shipping to a customer. "
Internal Rate of Return (IRR),The interest rate at which the revenues and costs of an investment or project are equivalent.
Inventory Improvement Cycle,"The steps of reducing purchasing and setup costs, resulting in lower costs, higher ROI, reduced inventory, and increased customer satisfaction."
ISO 9000:2000 ,"An international quality system standard for quality documentation and other quality standards for products and processes. Currently, quality cost standards are not included, but they are considered for future versions."
Iso Cost,Quantity of output at which two processes or products have equal costs.
Journal,A chronological record of financial events.
Just-in-Time (JIT),A term applied to an acquisition system with outside suppliers or internal producers delivering the required material upon request by having production systems that can respond quickly to the request without relying on inventory. It is the opposite of long delivery lead times caused by inflexible manufacturing systems or high inventory stocks.
Kaizen,Japanese term for the philosophy of making small continuous improvements.
Labor-Intensive Firm,An organization that has very low fixed costs with respect to variable costs.
Lease,Purchasing the use of the equipment without owning the equipment.
Ledger,A classification of financial events by individual accounts or categories in the Accounting Equation. 
Leverage,Borrowing rather than using internal funds. Funds are usually borrowed at an interest rate that is lower than the ROI of the investment.
Liability,debt or obligation to pay for services or products.
Limited Liability Corporation (LLC) ,"A type of corporation permitted in some states that limits the liability of the owners and also permits income to flow to the owners/partners, who are taxed as individuals."
Linear Breakeven,The breakeven case when the cost and revenue components are linear with respect to output quantity
Make or Buy:,The financial decision to either produce the produce the product or service or to purchase it from an outside vendor.
Marginal Cost,The cost to keep an asset one more year.
Market Value,The actual price/value when an asset is sold.
Market Value,"The current value of existing or new equipment or buildings as determined by the sale of an asset, comparable sales, an appraiser’s estimate, or cost of reproduction of the asset, or as established by the present worth future income streams of the asset."
Matching,Attempting to have expenses and associated revenues for products and services sold appear on the financial statements during the same period.
Minimum Cost,"the sum of two costs, one that increases and another that decreases with respect to a key variable. The sum of the two costs declines to a minimum point and then increases with respect to the key variables."
Modified Accelerated Cost Recovery System (MACRS),A system that replaced ACRS in the 1986 Tax Code revisions. It is based on a schedule of lives and categories of assets to determine the annual depreciation expense values.
Money (Financial) Cycle,"The collection and generation of historical accounting data, the calculation of interest and other analysis, the application of decision-making tools, and the monitoring and improvement of financial results, all of which result in new historical accounting data to complete the cycle."
Mutually Exclusive Investment,Only one of a number of alternatives may be selected as the service of only one alternative is required.
Net Operating Cash Flow,"Net income (net profit after tax and before dividends)plus depreciation, amortization, depletion, write-offs, and deferred taxes, less purchases of buildings, equipment, and other fixed assets for the period."
Net Profits or Net Income,Revenue less Costs or Expenses for a period of time. This may be a loss if costs are greater than revenues for the period.
Non owner Viewpoint,The analysis of existing alternatives based on the current market value and the assumption that the asset is not owned. This approach neglects sunk costs and assumes the asset is being purchased today.
Nonlinear Breakeven,"The nonlinear dependence of breakeven components, variable and fixed costs and revenues, on output."
Overhead,"Sometimes called burden. Costs other than material and labor necessary for producing and delivering services and products. Includes such items as taxes, advertising, rent, management salaries, and administration costs."
Owners’ Equity or Net Worth,The net value of an organization measured by subtracting liabilities from assets at a point in time.
Pareto Distribution,"The presentation of data, usually in bar chart form, with the largest frequency cause shown first and the remaining causes in descending order. The reduction of quality costs can begin by determining the largest cost and its root cause and then correcting the cause and reducing the cost. Then the process is repeated for next largest cost, and so on."
Partnership,"A business that is formed by contract between individuals and that has more than one owner. The life of the business is limited to the life of an individual partner. The partners share control, profits, and liability."
Payback,The ratio of a project’s initial cost to its annual benefits. It may or may not include TVM
Perpetuity,Describes the life of a project or investment that is infinite and for which annual returns or payments for the investment occur forever.
Preferred Stock,Shares of a corporation that are similar to common stock except that they are a form of ownership in the corporation that has a fixed dividend rate.
Present Worth (Present Value) Method,Summation of project’s or investment’s present worth of future costs and present worth of revenues for comparison with other present worth amounts.
Probability,The likelihood of an event occurring compared to the total possible number of events.
Profits,A source of funds for the organization that results from the money remaining after costs are deducted from revenues.
Progressive Tax,"A tax that has increasing rates so that as the taxable amount increases, the tax rate increases."
Proprietorship,"An easy-to-form business that is completely controlled by a single owner. The life of the business is limited to the life of the owner, and the liability of the business and the owner are concurrent."
Pull Inventory System,A flexible and responsive manufacturing system that can respond to customers’ requirements using JIT purchasing and quick changeover with low inventory storage quantities.
Purchase Quantity Discount,The price reduction given by a supplier for the customer buying a large quantity of material.
Push Inventory System,"An inflexible system of forecasting sales, producing to that forecast, and storing the inventory until it is sold."
QS 9000,A standard developed by U.S. automobile producers to monitor quality systems. It includes ISO 9000 requirements plus automobile industry and customer specific standards. It requires that producers have a quality cost system.
Ranking Techniques,"Selecting projects that have the best IRR, present worth, annual amount, life, quality contribution, schedule, initial costs, and related factors."
Rate of Return (ROR),The interest to make the value of the investment’s costs equal to known as internal rate of return (IRR).
Ratios,Financial percentages or fractions from financial statements used to analyze and compare statements of different organizations or the same organization at different period.
Required Investment,Capital investment that is required due to law or policy. It is not optional no matter what the return.
Residual Salvage Value,"The estimated value of the asset, project, or investment at the end of its use."
Retained Earnings,Funds kept in the organization after dividends are paid.
Return,General term used to mean the amount of money coming back from an investment  or project compared to the original investment. It may mean the revenue from the investment or the difference between the revenue and the original investment.
Return on Common Equity (ROE),"Net profits divided by owners’ equity in the organization. From the shareholders’ viewpoint, it is their return or return on investment."
Return on Investment (ROI),"General term that may mean profits on an investment from its assets, interest, return, rent received by a property owner, return on assets, return on equity, rate of return, or other specific concepts."
Return on Net Assets (RONA),"Net profits divided by total assets invested, less the annual depreciation for the organization."
Return on Net Assets (RONA),"Similar to ROI and ROA, except the denominator is net assets (assets less accumulated depreciation)."
Return on Net Assets Before Interest and taxes (RONABIT),"Earnings before interest and taxes divided by net assets, permitting a focus on operating returns."
Return on Quality (ROQ),"The measure of a quality characteristics, such as customer complaints or scrap costs, compared to the investment to attain the quality."
Return on Total Assets (ROA),The net income for a year from the organization’s income statement divided by the total assets of the organization on the Balance Sheet.
Revenue,"Income from the sale of products or services. Other revenue may include interest and dividend income, sale of assets, or other sources. It is money flowing into the organization."
Risk,The probability of a project or investment not meeting the desired outcomes.
Root-cause Analysis,Tracing the surface or apparent cause to its source so that permanent correction as well of related problems can be achieved.
Run Chart,A graph of a measurement’s value to see the variation and level of the measurement over time.
Salvage Value,The estimated value of the asset when it is no longer used by the organization. Approximates the future market value of the asset.
Salvage Value,The future market value of an asset
Semi fixed Costs,"Costs that are a hybrid of variable and fixed costs. They are sometimes independent of output and sometimes dependent on output volume. Examples include taxes, salaries, and power expenses. Also called semi variables."
Sensitivity,The amount of change in the output or results of an investment compared to the amount of change in the inputs.
Setup Reduction,"The improvement of changeover time on equipment that permits the process to be run more frequently with smaller orders per run, resulting in low inventory levels and fast customer response times."
Simple Interest,Money earned as interest on the principal only; no interest is earned or accumulated on interest.
Single Payment,A single initial amount earning interest over time to accumulate to a future time.
Six Sigma Quality,A standard of quality of approximately four defects per million. Also a program of improvements to reduce costs and improve quality.
Sources of Funds,"The three major sources of funds for the corporation are profits, borrowing, and sale of securities. Individuals can borrow and use profits as sources."
Storage or Holding Costs,"The costs of holding inventory, including the time value of money (TVM) on the investment, space costs, insurance, taxes, materials handling, and related costs."
Straight-Line Method,A depreciation method that reduces the asset value at a constant rate over its life.
Subchapter S Corporation,A corporation that gives the owners the option of being taxed as individuals.
Sum-of-Years- Digits (SOYD) Method,A mathematical depreciation method that creates high depreciation expense in the early years of the asset’s life and low depreciation expense in the later years.
Sunk Cost,"Past costs of purchasing and operating equipment, buildings, or other assets. Sunk costs are ignored in the decision-making process concerning replacement of existing equipment."
Taguchi Loss Function,The cost or dollar loss from the service or product’s failure anytime during its service life with the customer. The costs of quality over the product’s life increase as the product characteristics move further away from nominal or target specifications.
Time Value of Money (TVM),The concept that money has a greater value in the future than at present due to its earning capability.
Time Value of Money Diagrams,Drawings representing the flows of money into and out of the project or investment.
Total Cash Flow,"The cash into and out of the cash account during an accounting period. A summary of the sources and uses of the cash for a period. There are three components: Operating, investing, and financing cash flow."
Total Cost and Revenue Graph,"Plot of variable costs, fixed costs, total costs, and total revenue versus total quantity of output."
Total Costs,The sum of variable costs and fixed costs of a product or process.
Total Financial Management,"The use of work-group and cross-functional teams to analyze and make decisions about financial improvements, new projects, and investments based on accounting data, interest calculations, and other techniques. Customer-driven analysis and decisions are supported by senior management, and results are continuously measured and improved."
Total Quality Cost to sales Ratio,The sum of the four categories of quality costs divided by the sales for a period. It may be as high as 20% or more for organizations that have little or no formal quality program.
Total Quality Costs,"The sum of prevention, appraisal, internal, and external quality costs for a period of time. This amount includes manufacturing, non-manufacturing, and administrative quality costs."
Total Revenues,"The product of the quantity sold items the selling price, determined by the demand curve."
Types of Taxes,"Income and profits, assets and wealth, sales, value added."
Unit Cost Graph,"Plot of unit costs (variable, fixed, and total) versus total quantity produced, which shows declining costs as quantity of output increases."
Unit-of-Output or Use Method,Depreciation expenses calculation based on the fractional use of the asset’s estimated total output or capacity during its life.
Variable Cost,The material and labor cost of producing a good or service.
Variances,"Differences between the planned budget amounts and the actual amounts, which can be positive or negative."
What-If or Sensitivity Analysis,"This form of analysis selects different values for life, market value, salvage value, operating costs, and other factors in determining the effect on the outcome found by the original replacement analysis."
Work-Group Team,Team composed of members from a related work group or department.
