AC,   Actual cost of the work completed. The sum of the costs incurred in accomplishing work.
Forward pass , The method for determining the early start and finish times for each activity in the project network.
Free slack,   The maximum amount of time an activity can be delayed from its early start (ES) without affecting the early start (ES) of any activity immediately following it.
Function points ,"  Points derived from past software projects to estimate project time and cost, given specific features of the project."
Functional conflict ,  Disagreement that contributes to the objectives of the project.
Functional manager,"   A manager responsible for activities in a specialized department or function (e.g., engineering, marketing, finance)."
Functional organization,"   A hierarchical organizational structure in which departments represent individual disciplines such as engineering, marketing, purchasing."
Gantt chart ,"  A graphic display of schedule-related information. In the typical bar chart, schedule activities or work breakdown structure components are listed down the left side of the chart, dates are shown across the top, and activity durations are shown as date-placed horizontal bars."
Going native,"   Adopting the customs, values, and prerogatives of a foreign culture."
Golden rule,    Do unto others as you would wish them to do unto you.
Groupthink ,  A tendency of members in highly cohesive groups to lose their critical evaluative capabilities.
Hammock activity,"   A special purpose, aggregate activity that identifies the use of fixed resources or costs over a segment of the project e.g., a consultant. Derives its duration from the time span between other activities."
Heuristic ,"  A rule of thumb used to make decisions. Frequently found in scheduling projects. For example, scheduling critical activities first, then schedule activities with the shortest duration."
Implementation gap,   The lack of consensus between the goals set by top management and those independently set by lower levels of management. This lack of consensus leads to confusion and poor allocation of organization resources.
"Incremental, iterative development (IID) ",  A cyclical development process in which a project gradually evolves over time.
Indirect costs ,  Costs that cannot be traced to a particular project or work package.
Infrastructure,"   Basic services (i.e. communication, transportation, power) needed to support project completion."
In-process project audit ,  Project audits early in projects that allow for corrective changes if they are needed on the audited project or others in progress.
Insensitive network  , A network in which the critical path is likely to remain stable during the life of the project.
Inspiration-related currencies ,"  Influence based on inspiration (opportunity to do good, be the best, etc.)."
International project ,  A project that includes tasks that will be completed in different countries.
ISO 9000 ,   A set of standards governing the requirements for documentation of a quality program.
Joint evaluation,   A process in which different parties involved in a project evaluate how well they work together.
Lag  , The amount of time between the end of one activity and the start of another. A duration assigned to the activity dependency.  The minimum amount of time a dependent activity must be delayed to begin or end.
Lag relationship," The relationship between the start and/ or finish of a project activity and the start and/ or finish of another activity. The most common lag relationships are (1) finish-to-start, (2) finish-to-finish, (3) start-to-start, and (4) start-to-finish."
Late finish (LF),   The latest an activity can finish and not delay a following activity (LF = LS + DUR).
Late start (LS) ,  The latest an activity can start and not delay a following activity. It is the largest late finish (LF) of all activities immediately preceding it (LS = LF ? DUR).
Law of reciprocity,   People are obligated to grant a favor comparable to the one they received.
Leading by example,   Exhibiting the behaviors you want to see in others.
Learning curves ,  A mathematical curve used to predict a pattern of time reduction as a task is performed over and over.
Lessons learned,"  The learning gained from the process of performing the project. Lessons learned may be identified at any point. Also considered a project record, to be included in the lessons learned knowledge base."
Leveling,"   Techniques used to examine a project for an unbalanced use of resources, and for resolving resource over-allocations. "
Management by wandering around (MBWA) ,  A management style in which managers spend the majority of their time outside their offices interacting with key people.
Management reserve  ," A percentage of the total project budget reserved for contingencies. The fund exists to cover unforeseen, new problems, not unnecessary overruns. The reserve is designed to reduce the risk of project delays. Management reserves are typically controlled by the project owner or project manager."
Matrix ,  Any organizational structure in which the project manager shares responsibility with the functional managers for assigning priorities and for directing the work of individuals assigned to the project.
Maturity model ,  A model used to assess project management practices against others in the same industry and to guide and continuously strive to improve the management of projects. Most maturity models recognize levels of maturity so organizations can gauge their relative maturity against others in their industry.
Mediate the conflict ," The manager intervenes and tries to negotiate a resolution by using reasoning and persuasion, suggesting alternatives and the like."
Mentor ,   Typically a more experienced manager who acts as a personal coach and champions a person?s ambitions.
Merge activity  , An activity that has more than one activity immediately preceding it.
Met expectations model ,  Customer satisfaction is a function of the extent to which perceived performance exceeds expectations. 
Milestone  ,"  An event that represents significant, identifiable accomplishment toward the project?s completion."
Mitigating risk  , Action taken to either reduce the likelihood that a risk will occur and / or the impact the risk will have on the project.
Monitor  ," Collect project performance data with respect to a plan, produce performance measures, and report and disseminate performance information. "
Monte Carlo simulation ,"  A method of simulating project activity durations using probabilities. The method identifies the percentage of times, activities, and paths that are critical over thousands of simulations. "
Negative reinforcement ,  A motivational technique in which negative stimuli are removed once desired behavior is exhibited.
Net present value (NPV),"   A minimum desired rate of return discount (e.g., 15 percent) is used to compute present value of all future cash inflows and outflows."
Network  ,"A logic diagram arranged in a prescribed format (e.g., AOA or AON) consisting of activities, sequences, interrelationships, and dependencies."
Network organization ,  An alliance of several organizations created for the purpose of creating products and services for customers.
Network sensitivity,   The likelihood that the critical path will change on a project.
Node , One of the defining points of a schedule network
 a junction point joined to some or all of the other dependency lines.,
Nominal group technique (NGT)  , A structured problem solving process in which members privately rank-order preferred solutions.
Normal closure,   The most common circumstances for project closure is simply a completed project.
Norming,   In the third stage close relationships develop and the group demonstrates cohesiveness. Feelings of camaraderie and shared responsibility for the project are heightened. 
Objective,"  An end you seek to create or acquire. Should be specific, measurable, realistic, assignable, and include a time frame for accomplishment."
Opportunity,   It is an event that can have a positive impact on project objectives.
Organization breakdown structure (OBS),    A structure used to assign responsibility for work packages.
Organizational culture,"  A system of shared norms, beliefs, values, and assumptions held by an organization?s members."
Organizational currencies ,  A set of currencies used as a medium of exchange within organizations to influence behavior.
Organizational politics ,"  Actions by individuals or groups of individuals to acquire, develop, and use power and other resources to obtain preferred outcomes when there is uncertainty or disagreement over choices."
Outsourcing  , Contracting for the use of external sources (skills) to assist in implementing a project.
Overhead costs ,"  Typically organization costs that are not directly linked to a specific project. These costs cover general expenses such as upper management, legal, market promotion, and accounting. Overhead costs are usually charged per unit of time or as a percentage of labor or material costs."
Oversight ,"  A set of principles and processes to guide and improve the management of projects. The intent is to ensure projects meet the needs of the organization through standards, procedures, accountability, efficient allocation of resources, and continuous improvement in the management of projects."
Oysters  , These involve technological breakthroughs with high commercial payoffs.
Padding estimates ,  Adding a safety factor to a time or cost estimate to ensure the estimate is met when the project is executed.
Parallel activity ,  One or more activities that can be carried on concurrently or simultaneously.
Partnering charter  ," A formal document that states common goals as well as cooperative procedures used to achieve these goals, which is signed by all parties working on a project."
Path ,"  A sequence of connected, dependent activities."
Payback method ,  The time it takes to payback the project investment (investment/net annual savings). The method does not consider the time value of money or the life of the investment.
Pearls ,  These represent revolutionary commercial advances using proven technical advances.
Performance review,"   In general, all review methods of individual performance center on the technical and social skills brought to the project and team. These reviews stress personal improvement and are frequently used for salary and promotion decisions."
Performing ,  The team operating structure at this point is fully functional and accepted. Group energy has moved from getting to know each other and how the group will work together to accomplishing the project goals.
Perpetual,"   Some projects never seem to end. The major characteristic of this kind of project is constant ?add-ons,? suggesting a poorly conceived project scope."
Personal-related currencies ,  Influence based on enhancing another person?s self esteem.
Phase estimating ,  This estimating method begins with a macro estimate for the project and then refines estimates for phases of the project as it is implemented.
Phase gating ," A structured process to review, evaluate, and document outcomes at each project phase and to provide management with information to guide resource deployment toward strategic goals."
Phase project delivery ,  Delivering useful parts of a project in phases instead of when the project is entirely completed.
Planned value (PV) ,  The planned time-phased baseline of the value of the work scheduled. Previously this was called budgeted cost of work scheduled (BCWS).
Planning stage ,"  The level of effort increases, and plans are developed to determine what the project will entail, when it will be scheduled, whom it will benefit, what quality level should be maintained, and what budget will be."
Plan of record ,"  The current official plan for the project in terms of scope, budget, and schedule."
Portfolio project management  , Centralized selection and management of a portfolio of projects to ensure that allocation of resources is directed and balanced toward the strategic focus of the organization.
Position-related currencies ,  Influence based on the ability to enhance someone else?s position within an organization.
Positive synergy,   A characteristic of high performance teams in which group performance is greater than the sum of individual contributions.
Precedence diagram method ,"  A method used to construct a project network that uses nodes (e.g., a rectangle) to represent activities and connecting arrows to indicate dependencies."
Premature closure ,"  For a few projects, the project may be completed early with some parts of the project eliminated."
Principled negotiation ,  A process of negotiation that aims to achieve win/win results.
Priority matrix  ," A matrix that is set up before the project begins that establishes which criterion among cost, time, and scope will be enhanced, constrained, or accepted."
Priority system ,  The process used to select projects. The system uses selected criteria for evaluating and selecting projects that are strongly linked to higher level strategies and objectives.
Priority team ,"  The group (sometimes the project office) responsible for selecting, overseeing, and updating project priority selection criteria."
Proactive ,  Working within your sphere of influence to accomplish something.
Process breakdown structure (PBS) ,  A phase oriented grouping of project activities that defines the total scope of the project. Each descending level represents an increasingly detailed description of project work.
Product backlog ,  A prioritized list of project requirements with estimated time to turn them into complete product functionality.
Product owner ,  The person responsible for managing the product backlog in Scrum so as to maximize the value of the project. The product owner represents all stakeholders.
Program ,  A group of related projects managed in a coordinated way to obtain benefits and control not available from managing them individually. Programs may include elements of related work outside of the scope of the discrete projects in the program.
Project  ," A temporary endeavor undertaken to create a unique product, service, or result."
Project audit report ,"  A report that includes classification of the project, analysis of information gathered, recommendations, lessons learned, and an appendix of backup information."
Project charter ,  A document that authorizes the project manager to initiate and lead a project.
Project closure  ," All of the activities of shutting down a project. The major activities are evaluation of project goals and performance, developing lessons learned, releasing resources, and preparing a final report."
Project cost duration graph ," A graph that plots project cost against time it includes direct, indirect, and total cost for a project over a relevant range of time"
Project evaluation ,"  The process of assessing, verifying, and documenting project results."
Project facilitator ,"  A guide who leads the project team through an analysis of project activities that went well, what needs improvement, and development of a follow up action plan with goals and accountability."
Project interfaces  , The intersections between a project and other groups of people both within and outside the organization.
Project office (PO),"   The project office (PO) is the unit responsible for the continued support of consistent applications of selection criteria, standards, and processes training of and general assistance to project management and continued improvement and use of best practices."
Project oversight  , It can be defined as a set of principles and processes to guide and improve the management of projects.
Projectitis  , A social phenomenon in which project members exhibit inappropriately intense loyalty to the project.
Projectized organization ,  A multi-project organization in which project managers have full authority to assign priorities and direct the work of persons assigned to their project.
Project kick off meeting  , Typically the first meeting of the project team.
Project life cycle,"   The stages found in all projects, definition, planning, execution, and delivery."
Project management ,"  The application of knowledge, skills, tools, and techniques to project activities to meet the project requirements."
Project Management Professional (PMP) ,"  An individual who has met specific education and experience requirements set forth by the Project Management Institute, has agreed to adhere to a code of professional conduct, and has passed an examination designed to objectively assess and measure project management knowledge. In addition, a PMP must satisfy continuing certification requirements or lose the certification."
Project Office (PO) ,  A centralized unit within an organization or department that oversees and improves the management of projects.
Project Manager ,  The individual responsible for managing a project.
Project organization,   An organizational structure in which core work is accomplished by project teams.
Project partnering ,"  A non binding method of transforming contractual relationships into a cohesive, cooperative project team with a single set of goals and established procedures for resolving disputes in a timely manner."
Project portfolio  ," Group of projects that have been selected for implementation balanced by project type, risk, and ranking by selected criteria."
Project screening matrix,  A matrix used to assess and compare the relative value of projects being considered for implementation.
Project sponsor ,  Typically a high ranking manager who champions and supports a project.
Project vision ,  An image of what the project will accomplish.
Ratio (parametric) methods ,   Uses the ratio of past actual costs for similar work to estimate the cost for a potential project. This macro method of forecasting cost does not provide a sound basis for project cost control since it does not recognize differences among projects.
Relationship related currencies  , Influence based on friendship.
Requested change  ,A formally documented change request that is submitted for approval to the integrated change control process.
Reserve  ," A provision in the project management plan to mitigate cost and / or schedule risk. Often used with a modifier (e.g., management reserve, contingency reserve) to provide further detail on what types of risk are meant to be mitigated."
Resource  ,"  Any person, groups, skill, equipment or material used to accomplish a task, work package, or activity."
Resource constrained project ,  A project that assumes resources are limited (fixed) and therefore time is variable.
Resource profile  ," A chart showing the usage of a resource in a project over time. It is common to try to reduce the peak of the resource usage by leveling or smoothing, thereby improving the utilization of the resource."
Resource smoothing ,"  If resources are adequate but the demand varies widely over the life of the project, it may be desirable to even out resource demand by delaying noncritical activities (using slack) to lower peak demand and, thus, increase resource utilization. This process is called resource smoothing."
Responsibility matrix,   A matrix whose intersection point shows the relationship between an activity (work package) and the person / group responsible for its completion.
Retrospective  ," A methodology that analyzes a past project event to determine what worked and what didn?t, develops lessons learned, and creates an action plan that ensures lessons learned are used to improve management of future projects."
Revised estimated cost to complete (ETCre)  ,  Estimated total cost based on revised estimates made by experts and actual costs to date.
Risk  , The chance that an undesirable project event will occur and the consequences of all its possible outcomes.
Risk breakdown structure (RBS) ,  A hierarchical depiction of the identified project risks arranged by risk category and subcategory that identifies the various areas and causes of potential risks.
Risk control ,"  It involves executing the risk response strategy, monitoring triggering events, initiating contingency plans, and watching for new risks. "
Risk profile ,  A list of questions that addresses traditional areas of uncertainty on a project.
Risk register,"   It details all identified risks, including descriptions, category, and probability of occurring, impact, responses, contingency plans, owners, and current status."
Risk severity matrix ,  A tool used to assess the impact of risks on a project.
Sacred cow ,  A project that is a favorite of a powerful management figure who is usually the champion for the project.
Scaling ,"  Adapting Agile PM to large, multi team projects."
Scenario planning,"   A structured process of thinking about future possible environments that would have potential high impact to disrupt the way you do business, and then developing potential strategies to compete in  these altered environments."
Schedule baseline,   A specific version of the schedule model used to compare actual results to the plan to determine if preventive or corrective action is needed to meet the project objectives.
Schedule performance index (SPI) ,  The ratio of work performed to work scheduled (EV/PV).
Schedule variance (SV),  The difference between the planned dollar value of the work actually completed and the value of the work scheduled to be completed at a given point in time (SV = EV ? PV). Schedule variance contains no critical path information.
Scope creep ,  The tendency for the scope of a project to expand once it has started.
Scope statement ,"  A definition of the end result or mission of a project. Scope statements typically include project objectives, deliverables, milestones, specifications, and limits and exclusions."
Scrum ,"  An incremental, iterative development approach to managing projects with a well-defined set of roles and processes."
Scrum master , The person responsible for the Scrum process and its correct application.
Self organizing team ,  A semi-autonomous team that manages itself.
Sensitivity of a network  , The likelihood that the critical path(s) will change once the project begins to be implemented.
Share ,  This strategy involves allocating some or all of the ownership of an opportunity to another party who is best able to capture the opportunity for the benefit of the project.
Sharing risk ,  Allocating proportions of risk to different parties.
Slack (SL) ,  Time an activity can be delayed before it becomes critical.
Social network building,   The process of identifying and building cooperative relationships with key people.
Sociotechnical perspective,   A focus on the interaction between tools/methods and people.
Splitting,"   A scheduling technique in which work is interrupted on one activity and the resource is assigned to another activity for a period of time, then reassigned to work on the original activity."
Sprint ,  A fixed period of time during which a Scrum teams works to turn the product backlog it has selected into an increment of product functionality.
Sprint backlog ,  A list of tasks that defines a Scrum team?s work for a sprint. Each task identifies those responsible for doing the work and the estimated amount of work remaining on the task on any given day during the sprint.
Sprint planning meeting,"   A scrum meeting divided into two segments. During the first segment the product owner presents the highest priority product backlog to the team. The team and product owner collaborate to determine how much of the product backlog it can turn into functionality during the upcoming sprint. During the second segment, the team plans how it will meet his commitment by detailing its work as a plan in the sprint backlog."
Sprint retrospective meeting ,  A Scrum meeting in which the team discusses the just concluded sprint and determines what could be changed that might make the next sprint more enjoyable and productive.
Sprint review meeting,   A Scrum meeting in which the team demonstrates to the product owner and any other interested parties what it was able to accomplish during the sprint.
Stakeholders ,"  Individuals and organizations that are actively involved in the project, or whose interests may be positively or negatively affected as a result of project execution or completion. They may also exert influence over the project and its results."
Start to finish (SF),   The logical relationship where completion of the successor schedule activity is dependent upon the initiation of the predecessor schedule activity.
Start to start (SS)   ,The logical relationship where initiation of the work of the successor schedule activity depends upon the initiation of the work of the predecessor schedule activity.
Storming , This stage is marked by a high degree of internal conflict. Members accept that they are part of a project group but resist the constraints that the project and group put on their individuality. There is conflict over who will control the group and how decisions will be made.
Strong matrix,   A matrix structure in which the project manager has primary control over project activities and functional managers support project work.
Systems thinking ,  A holistic approach to viewing problems that emphasizes understanding the interactions among different problem factors.
Task related currencies ," Influence based, helping someone else do their work."
Team building,  A process designed to improve the performance of a team.
Team evaluation,"   Evaluating the performance of the project team using a minimum core of conditions in place before the project began. Evaluation practices should emphasize the team as a whole, while minimizing individual performance."
Team rituals , Ceremonial actions that reinforce team identity and values.
Template method,"  Use of a prepared form to develop project networks, costs, and time estimates."
Threat  ," A condition or situation unfavorable to the project, a negative set of circumstances, a negative set of events, a risk that will have a negative impact on a project objective if it occurs, or a possibility for negative changes. Contrast with opportunity."
360 degree feedback ,"  A multirater appraisal system based on performance information that is gathered from multiple sources (superiors, peers, subordinates, customers)."
Time and cost databases,   Collection of actual versus estimated times and costs of work packages over many projects that are used for estimating new project tasks and their expected possible error.
Time buffer  ," A contingency amount of time for an activity to cover uncertainty, for example, availability of a key resource or merge event."
Time constrained project ,"  A project that assumes time is fixed and, if resources are needed, they will be added."
Time phased baseline,   A cost baseline that is derived from the WBS and project schedule. The budgeted costs are distributed to mirror the project schedule.
Time phased budgets ,"  Planned costs that are broken down by distinct time periods (e.g., $5,000 per week) for a work package, as opposed to a budget for a whole job/project (6 months for a total of $130,000). Time phasing allows better cost control by measuring the actual rate of expenditure versus the planned expenditure rate over small pieces of the project."
Total slack (TS)  , The amount of time an activity can be delayed and not affect the project duration (TS = LS ? ES or LF ? EF).
Tracking Gantt ,  A gantt chart that compares planned versus actual schedule information.
Transferring risk ,  Shifting responsibility for a risk to another party.
Triggers  , They tell you that an event is quickly approaching and detailed strategic planning is needed.
Triple constraint ," The competing demands of time, cost, and scope. These constraints frequently represent tradeoff decisions to be dealt with by the project manager and / or sponsor."
Top down estimates ,  Rough estimates that use surrogates to estimate project time and cost (also called macro estimates).
Validation ,"  The assurance that a product, service, or system meets the needs of the customer and other identified stakeholders. It often involves acceptance and suitability with external customers. Contrast with verification."
Variance at completion (VAC) ,  Indicates expected actual cost over or under run at completion (VAC = BAC ? EAC). 
Verification ,"  The evaluation of whether or not a product, service, or system complies with a regulation, requirement, specification, or imposed condition. It is often an internal process. Contrast with validation."
Virtual project team ,  Spatially separated project team whose members are unable to communicate face to face. Communication is usually by electronic means.
Weak matrix , A matrix structure in which functional managers have primary control over project activities and the project manager coordinates project work.
White elephants , These are projects that at one time showed promise but are no longer viable.
Work authorization,"   A permission and direction, typically written, to begin work on a specific schedule activity or work package or control account. It is a method for sanctioning project work to ensure that the work is done by the identified organization, at the right time, and in the proper sequence."
Work breakdown structure (WBS) , A hierarchical method that successfully subdivides the work of the project into smaller detail.
Work package ,"  A task at the lowest level of the WBS. Responsibility for the package should be assigned to one person and, if possible, limited to 80 hours of work"
